Number,Date,State/Tribal Government,Incident Description,Declaration Type
1600,8/23/2005,Kansas,Severe Storms and Flooding,Major Disaster Declaration
1601,8/23/2005,Louisiana,Tropical Storm Cindy,Major Disaster Declaration
2578,8/22/2005,Nevada,Vor-McCarty Fire,Fire Management Assistance Declaration
1599,8/22/2005,Wyoming,Tornado,Major Disaster Declaration
2577,8/19/2005,Hawaii,Waikele Fire,Fire Management Assistance Declaration
2576,8/15/2005,Hawaii,Nanakuli Brush Fire,Fire Management Assistance Declaration
2575,8/7/2005,Washington,School Fire,Fire Management Assistance Declaration
2574,8/4/2005,Hawaii,Akoni Pule Highway Fire,Fire Management Assistance Declaration
2573,8/2/2005,Hawaii,Lalamilo Fire,Fire Management Assistance Declaration
2572,8/1/2005,Washington,Dirty Face Fire,Fire Management Assistance Declaration
1598,8/1/2005,Utah,Flood and Landslide,Major Disaster Declaration
2571,7/25/2005,California,Quartz Fire,Fire Management Assistance Declaration
1597,7/22/2005,North Dakota,"Severe Storms, Flooding, and Ground Saturation",Major Disaster Declaration
2570,7/22/2005,Arizona,Edge Fire Complex,Fire Management Assistance Declaration
1596,7/22/2005,South Dakota,Severe Storm,Major Disaster Declaration
2568,7/16/2005,Nevada,Carlin Fire,Fire Management Assistance Declaration
2569,7/16/2005,South Dakota,Skyline #2 Fire,Fire Management Assistance Declaration
2567,7/16/2005,Nevada,Contact Fire,Fire Management Assistance Declaration
1595,7/10/2005,Florida,Hurricane Dennis,Major Disaster Declaration
2566,7/10/2005,Colorado,Mason Fire,Fire Management Assistance Declaration
1594,7/10/2005,Mississippi,Hurricane Dennis,Major Disaster Declaration
2565,7/10/2005,South Dakota,Ricco Fire,Fire Management Assistance Declaration
1593,7/10/2005,Alabama,Hurricane Dennis,Major Disaster Declaration
1592,7/6/2005,Idaho,Heavy Rains and Flooding,Major Disaster Declaration
1591,6/29/2005,Maine,"Severe Storms, Flooding, Snow Melts, and Ice Jams",Major Disaster Declaration
2564,6/27/2005,Utah,Blue Springs Fire,Fire Management Assistance Declaration
2563,6/24/2005,Nevada,Good Springs Fire,Fire Management Assistance Declaration
1590,6/23/2005,Nebraska,Severe Storms and Flooding,Major Disaster Declaration
2562,6/23/2005,Arizona,Humbug Fire,Fire Management Assistance Declaration
2561,6/22/2005,Arizona,Cave Creek Fire Complex,Fire Management Assistance Declaration
2560,6/12/2005,Arizona,Hulet Fire,Fire Management Assistance Declaration
2559,6/8/2005,Arizona,Bobby Fire,Fire Management Assistance Declaration
2558,5/26/2005,Arizona,Vekol Fire,Fire Management Assistance Declaration
3211,4/28/2005,New Hampshire,Snow,Emergency Declaration
3210,4/21/2005,Maine,Snow,Emergency Declaration
1589,4/19/2005,New York,Severe Storms and Flooding,Major Disaster Declaration
1588,4/19/2005,New Jersey,Severe Storms and Flooding,Major Disaster Declaration
2557,4/19/2005,South Dakota,Camp Five Fire,Fire Management Assistance Declaration
1587,4/14/2005,Pennsylvania,Severe Storms and Flooding,Major Disaster Declaration
1586,4/14/2005,Arizona,Severe Storms and Flooding,Major Disaster Declaration
1585,4/14/2005,California,"Severe Storms, Flooding, Landslides, and Mud and Debris Flows",Major Disaster Declaration
3209,4/1/2005,Maine,Snow,Emergency Declaration
3207,3/30/2005,New Hampshire,Snow,Emergency Declaration
3208,3/30/2005,New Hampshire,Snow,Emergency Declaration
3205,3/14/2005,Maine,Snow,Emergency Declaration
1584,3/14/2005,Alaska,Severe Winter Storm,Major Disaster Declaration
3206,3/14/2005,Maine,Snow,Emergency Declaration
1583,3/7/2005,Nevada,Heavy Rains and Flooding,Major Disaster Declaration
3204,2/23/2005,Nevada,Snow,Emergency Declaration
1582,2/18/2005,American Samoa,"Tropical Cyclone Olaf, including High Winds, High Surf, and Heavy Rainfall",Major Disaster Declaration
3201,2/17/2005,Massachusetts,Snow,Emergency Declaration
1581,2/17/2005,Arizona,Severe Storms and Flooding,Major Disaster Declaration
3200,2/17/2005,Connecticut,Snow,Emergency Declaration
3203,2/17/2005,Rhode Island,Snow,Emergency Declaration
3202,2/17/2005,Nevada,Snow,Emergency Declaration
1580,2/15/2005,Ohio,"Severe Winter Storms, Flooding and Mudslides",Major Disaster Declaration
1579,2/8/2005,Kansas,"Severe Winter Storms, Heavy Rains, and Flooding",Major Disaster Declaration
1578,2/8/2005,Kentucky,Severe Winter Storm and Record Snow,Major Disaster Declaration
1577,2/4/2005,California,"Severe Storms, Flooding, Debris Flows, and Mudslides",Major Disaster Declaration
1576,2/1/2005,Utah,Severe Storms and Flooding,Major Disaster Declaration
1575,2/1/2005,Hawaii,Severe Storms and Flash Flooding,Major Disaster Declaration
3199,2/1/2005,Illinois,Snow,Emergency Declaration
1574,2/1/2005,West Virginia,"Severe Storms, Flooding, and Landslides",Major Disaster Declaration
1573,1/21/2005,Indiana,Severe Winter Storms and Flooding,Major Disaster Declaration
3197,1/11/2005,Indiana,Snow,Emergency Declaration
3198,1/11/2005,Ohio,Snow,Emergency Declaration
3269,12/29/2006,Illinois,Snow,Emergency Declaration
1673,12/29/2006,Missouri,Severe Winter Storms,Major Disaster Declaration
1672,12/29/2006,Oregon,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
1671,12/12/2006,Washington,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
1670,12/12/2006,New York,Severe Storms and Flooding,Major Disaster Declaration
1669,12/8/2006,Alaska,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
2681,12/3/2006,California,Shekell Fire,Fire Management Assistance Declaration
2680,11/15/2006,Texas,Rim Rock Fire,Fire Management Assistance Declaration
2679,11/11/2006,Nevada,Pinehaven Fire,Fire Management Assistance Declaration
1668,11/2/2006,Louisiana,Severe Storms and Flooding,Major Disaster Declaration
1667,11/2/2006,Missouri,Severe Storms,Major Disaster Declaration
1666,10/27/2006,Alaska,Fire,Major Disaster Declaration
2678,10/26/2006,California,Esperanza Fire,Fire Management Assistance Declaration
1665,10/24/2006,New York,Severe Storms and Flooding,Major Disaster Declaration
1664,10/17/2006,Hawaii,Earthquake,Major Disaster Declaration
1663,10/16/2006,Alaska,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
3268,10/15/2006,New York,Snowstorm,Emergency Declaration
1662,10/6/2006,Indiana,Severe Storms and Flooding,Major Disaster Declaration
2677,9/26/2006,California,Day Fire,Fire Management Assistance Declaration
1661,9/22/2006,Virginia,"Severe Storms and Flooding, Including Severe Storms and Flooding Associated with Tropical Depression Ernesto",Major Disaster Declaration
2676,9/17/2006,California,Orchard Fire,Fire Management Assistance Declaration
2675,9/14/2006,Texas,Moore Road Fire,Fire Management Assistance Declaration
2674,9/11/2006,Washington,Flick Creek Fire,Fire Management Assistance Declaration
1660,9/7/2006,Arizona,Severe Storms and Flooding,Major Disaster Declaration
2673,9/2/2006,Hawaii,Ma'alaea Fire,Fire Management Assistance Declaration
2672,9/1/2006,Colorado,Red Apple Fire,Fire Management Assistance Declaration
2671,8/30/2006,Montana,Derby Fire,Fire Management Assistance Declaration
1659,8/30/2006,New Mexico,Severe Storms & Flooding,Major Disaster Declaration
2670,8/24/2006,Nevada,Mud Fire,Fire Management Assistance Declaration
2668,8/22/2006,Washington,Columbia Fire Complex,Fire Management Assistance Declaration
2669,8/22/2006,Montana,Emerald Hills Fire,Fire Management Assistance Declaration
2667,8/19/2006,Texas,Caddo II Fire Complex,Fire Management Assistance Declaration
2666,8/16/2006,Texas,Purgatory Road Fire,Fire Management Assistance Declaration
1658,8/15/2006,Texas,Flooding,Major Disaster Declaration
2665,8/14/2006,Wyoming,Jackson Canyon Fire,Fire Management Assistance Declaration
2664,8/12/2006,Nevada,Verdi Fire,Fire Management Assistance Declaration
2663,8/8/2006,Washington,Valley Mill Fire,Fire Management Assistance Declaration
1657,8/4/2006,Alaska,Snow Melt and Ice Jam Flooding,Major Disaster Declaration
1656,8/1/2006,Ohio,"Severe Storms, Straight Line Winds, and Flooding",Major Disaster Declaration
2662,7/30/2006,California,Junction Fire,Fire Management Assistance Declaration
2661,7/29/2006,Nebraska,Sioux County Fire Complex,Fire Management Assistance Declaration
2660,7/28/2006,Nebraska,Dawes County Fire Complex,Fire Management Assistance Declaration
2658,7/27/2006,South Dakota,East Ridge Fire,Fire Management Assistance Declaration
2659,7/27/2006,Oregon,Black Crater Fire,Fire Management Assistance Declaration
2657,7/25/2006,Oregon,Foster Gulch Fire Complex,Fire Management Assistance Declaration
2656,7/24/2006,California,Horse Fire,Fire Management Assistance Declaration
3267,7/21/2006,Missouri,Severe Storms,Emergency Declaration
2655,7/17/2006,Nebraska,Big Rock Fire,Fire Management Assistance Declaration
2654,7/14/2006,Wyoming,Thorn Divide Fire Complex,Fire Management Assistance Declaration
1655,7/13/2006,Virginia,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
2653,7/12/2006,California,Sawtooth Fire Complex,Fire Management Assistance Declaration
2652,7/11/2006,Montana,Saunders Fire,Fire Management Assistance Declaration
1653,7/7/2006,New Jersey,Severe Storms and Flooding,Major Disaster Declaration
1654,7/5/2006,Delaware,Severe Storms and Flooding,Major Disaster Declaration
1651,7/2/2006,Ohio,"Severe Storms, Tornadoes, Straight Line Winds, and Flooding",Major Disaster Declaration
1652,7/2/2006,Maryland,"Severe Storms, Flooding, and Tornadoes",Major Disaster Declaration
1650,7/1/2006,New York,Severe Storms and Flooding,Major Disaster Declaration
1649,6/30/2006,Pennsylvania,"Severe Storms, Flooding, and Mudslides",Major Disaster Declaration
2651,6/27/2006,Texas,North Trinity Fire,Fire Management Assistance Declaration
2649,6/27/2006,Nevada,Oregon Fire,Fire Management Assistance Declaration
2650,6/27/2006,Nevada,Linehan Fire Complex,Fire Management Assistance Declaration
2648,6/26/2006,Nevada,Suzie Fire,Fire Management Assistance Declaration
2647,6/21/2006,New Mexico,Rivera Mesa Fire,Fire Management Assistance Declaration
2646,6/19/2006,Colorado,Malo Vega Fire,Fire Management Assistance Declaration
2645,6/18/2006,Arizona,Brins Fire,Fire Management Assistance Declaration
2644,6/16/2006,New Mexico,Malpais Fire,Fire Management Assistance Declaration
2643,6/14/2006,Arizona,Woody Fire,Fire Management Assistance Declaration
2642,6/13/2006,Arizona,Potato Fire,Fire Management Assistance Declaration
2641,6/8/2006,Alaska,Parks Highway Fire,Fire Management Assistance Declaration
1647,6/5/2006,South Dakota,Severe Winter Storm,Major Disaster Declaration
1648,6/5/2006,Minnesota,Flooding,Major Disaster Declaration
1646,6/5/2006,California,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
1645,6/5/2006,North Dakota,"Severe Storms, Flooding, and Ground Saturation",Major Disaster Declaration
2640,6/2/2006,Arizona,La Barranca Fire,Fire Management Assistance Declaration
2639,5/26/2006,Texas,Lake Olympia Fire,Fire Management Assistance Declaration
1644,5/25/2006,Maine,Severe Storms and Flooding,Major Disaster Declaration
1643,5/25/2006,New Hampshire,Severe Storms and Flooding,Major Disaster Declaration
1642,5/25/2006,Massachusetts,Severe Storms and Flooding,Major Disaster Declaration
1641,5/17/2006,Washington,"Severe Storms, Flooding, Tidal Surge, Landslides, and Mudslides",Major Disaster Declaration
2638,5/15/2006,Florida,Volusia Fire Complex,Fire Management Assistance Declaration
3266,5/2/2006,Connecticut,Snow,Emergency Declaration
1640,5/2/2006,Hawaii,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
2637,4/15/2006,Virginia,Bull Mountain Fire,Fire Management Assistance Declaration
1638,4/13/2006,Kansas,"Severe Storms, Tornadoes, and Straight Line Winds",Major Disaster Declaration
1637,4/13/2006,Oklahoma,Severe Storms and Tornadoes,Major Disaster Declaration
1636,4/12/2006,Arkansas,Severe Storms and Tornadoes,Major Disaster Declaration
2636,4/12/2006,New Mexico,Ojo Feliz Fire,Fire Management Assistance Declaration
2634,4/6/2006,Oklahoma,Cement Fire,Fire Management Assistance Declaration
2635,4/6/2006,Oklahoma,New Castle Fire,Fire Management Assistance Declaration
2633,4/6/2006,Oklahoma,Ponca City Fire,Fire Management Assistance Declaration
1635,4/5/2006,Missouri,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1634,4/5/2006,Tennessee,Severe Storms and Tornadoes,Major Disaster Declaration
2632,3/30/2006,Kansas,Obee Fire,Fire Management Assistance Declaration
1633,3/28/2006,Illinois,Tornadoes and Severe Storms,Major Disaster Declaration
1632,3/20/2006,Oregon,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
1631,3/16/2006,Missouri,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
2631,3/1/2006,New Mexico,Casa Fire,Fire Management Assistance Declaration
1630,2/27/2006,Idaho,Severe Storms and Flooding,Major Disaster Declaration
3265,2/24/2006,Maine,Snow,Emergency Declaration
2630,2/6/2006,California,Sierra Fire,Fire Management Assistance Declaration
2629,2/5/2006,Texas,Venus Fire Complex,Fire Management Assistance Declaration
1628,2/3/2006,California,"Severe Storms, Flooding, Mudslides, and Landslides",Major Disaster Declaration
1629,2/3/2006,Nevada,Severe Storms and Flooding,Major Disaster Declaration
1627,1/26/2006,Nebraska,Severe Winter Storm,Major Disaster Declaration
1626,1/26/2006,Kansas,Severe Winter Storm,Major Disaster Declaration
1625,1/20/2006,South Carolina,Severe Ice Storm,Major Disaster Declaration
2622,1/19/2006,Texas,Orchard Fire,Fire Management Assistance Declaration
2627,1/19/2006,Oklahoma,Paoli Fire,Fire Management Assistance Declaration
2621,1/19/2006,Texas,Huntington Brook Fire,Fire Management Assistance Declaration
2625,1/19/2006,Oklahoma,Kiefer Fire,Fire Management Assistance Declaration
2628,1/19/2006,Oklahoma,Sperry Fire,Fire Management Assistance Declaration
2623,1/19/2006,Oklahoma,North Stillwater Fire,Fire Management Assistance Declaration
2624,1/19/2006,Oklahoma,Stecker Fire,Fire Management Assistance Declaration
2626,1/19/2006,Oklahoma,Ryan Fire,Fire Management Assistance Declaration
2620,1/15/2006,Texas,Caddo Fire,Fire Management Assistance Declaration
2619,1/13/2006,Texas,Lockhart Fire,Fire Management Assistance Declaration
2618,1/13/2006,Oklahoma,Ratcliff Fire,Fire Management Assistance Declaration
2617,1/11/2006,Texas,Niederwald Fire,Fire Management Assistance Declaration
1624,1/11/2006,Texas,Extreme Wildfire Threat,Major Disaster Declaration
1623,1/10/2006,Oklahoma,Severe Wildfire Threat,Major Disaster Declaration
2616,1/9/2006,Oklahoma,Henryetta Fire,Fire Management Assistance Declaration
2614,1/8/2006,Texas,Hawkins Fire,Fire Management Assistance Declaration
2613,1/8/2006,Colorado,Mauricio Canyon Fire,Fire Management Assistance Declaration
2615,1/8/2006,Oklahoma,McNalley Flats Fire,Fire Management Assistance Declaration
2612,1/7/2006,Texas,Cedar Creek Fire,Fire Management Assistance Declaration
2610,1/5/2006,Texas,Rosewood Fire,Fire Management Assistance Declaration
2611,1/5/2006,Texas,Mill Creek Fire,Fire Management Assistance Declaration
2609,1/5/2006,Texas,Bulverde Fire,Fire Management Assistance Declaration
1622,1/4/2006,Minnesota,Severe Winter Storm,Major Disaster Declaration
1621,1/4/2006,North Dakota,Severe Winter Storm,Major Disaster Declaration
2608,1/3/2006,Oklahoma,Eufaula Fire,Fire Management Assistance Declaration
2607,1/2/2006,Oklahoma,63rd Street Fire,Fire Management Assistance Declaration
2606,1/2/2006,Oklahoma,Prague Fire Complex,Fire Management Assistance Declaration
2602,1/2/2006,Oklahoma,Bethel Acres Fire,Fire Management Assistance Declaration
2600,1/2/2006,New Mexico,Southeast New Mexico Fire,Fire Management Assistance Declaration
2601,1/2/2006,Oklahoma,Shamrock Fire Complex,Fire Management Assistance Declaration
2603,1/2/2006,Oklahoma,Cashion Fire Complex,Fire Management Assistance Declaration
2604,1/2/2006,Oklahoma,Guthrie Fire,Fire Management Assistance Declaration
2605,1/2/2006,Oklahoma,Sapulpa Fire Complex,Fire Management Assistance Declaration
2599,1/1/2006,Oklahoma,Wainwright Fire Complex,Fire Management Assistance Declaration
2597,1/1/2006,Oklahoma,Depew Fire Complex,Fire Management Assistance Declaration
2598,1/1/2006,Texas,Ringgold Fire,Fire Management Assistance Declaration
2596,1/1/2006,Texas,Carbon Fire,Fire Management Assistance Declaration
1736,12/27/2007,Missouri,Severe Winter Storms,Major Disaster Declaration
1735,12/18/2007,Oklahoma,Severe Winter Storms,Major Disaster Declaration
3281,12/12/2007,Missouri,Severe Winter Storms,Emergency Declaration
3282,12/12/2007,Kansas,Severe Winter Storms,Emergency Declaration
3280,12/10/2007,Oklahoma,Severe Winter Storms,Emergency Declaration
1734,12/8/2007,Washington,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
1733,12/8/2007,Oregon,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
1732,11/30/2007,Indiana,Severe Storms and Flooding,Major Disaster Declaration
2741,11/21/2007,New Mexico,Ojo Peak Fire,Fire Management Assistance Declaration
2740,10/28/2007,Hawaii,Puako Fire,Fire Management Assistance Declaration
1731,10/24/2007,California,Wildfires,Major Disaster Declaration
3279,10/23/2007,California,Wildfires,Emergency Declaration
2738,10/22/2007,California,Grass Valley Fire,Fire Management Assistance Declaration
2739,10/22/2007,California,Rice Fire,Fire Management Assistance Declaration
2737,10/22/2007,California,Santiago Fire,Fire Management Assistance Declaration
2736,10/22/2007,California,Ranch Fire,Fire Management Assistance Declaration
2735,10/21/2007,California,Harris Fire,Fire Management Assistance Declaration
2732,10/21/2007,California,Canyon Fire,Fire Management Assistance Declaration
2734,10/21/2007,California,Witch Fire,Fire Management Assistance Declaration
2733,10/21/2007,California,Buckweed Fire,Fire Management Assistance Declaration
1730,10/2/2007,Texas,Tropical Storm Erin,Major Disaster Declaration
1729,9/25/2007,Illinois,Severe Storms and Flooding,Major Disaster Declaration
1728,9/21/2007,Missouri,Severe Storms and Flooding,Major Disaster Declaration
2731,9/21/2007,Washington,Broughton Fire,Fire Management Assistance Declaration
2730,9/16/2007,Montana,Country Club Fire,Fire Management Assistance Declaration
2729,9/15/2007,California,Angel Fire,Fire Management Assistance Declaration
2728,9/15/2007,California,Butler 2 Fire,Fire Management Assistance Declaration
1727,9/14/2007,Iowa,Severe Storms and Flooding,Major Disaster Declaration
1726,9/7/2007,North Dakota,Severe Storms and a Tornado,Major Disaster Declaration
1725,9/7/2007,North Dakota,Severe Storms and Tornadoes,Major Disaster Declaration
2727,9/3/2007,Oregon,GW Fire,Fire Management Assistance Declaration
1723,8/31/2007,Oklahoma,"Severe Storms, Flooding, and Tornadoes",Major Disaster Declaration
1724,8/31/2007,New York,"Severe Storms, Flooding, and Tornado",Major Disaster Declaration
2726,8/30/2007,Idaho,Cascade Fire Complex,Fire Management Assistance Declaration
2725,8/30/2007,Idaho,East Zone Fire Complex,Fire Management Assistance Declaration
1722,8/30/2007,Illinois,Severe Storms and Flooding,Major Disaster Declaration
1721,8/29/2007,Nebraska,Severe Storms and Flooding,Major Disaster Declaration
2724,8/28/2007,Idaho,Castle Rock Fire,Fire Management Assistance Declaration
1720,8/27/2007,Ohio,"Severe Storms, Flooding, and Tornadoes",Major Disaster Declaration
1719,8/26/2007,Wisconsin,Severe Storms and Flooding,Major Disaster Declaration
1718,8/24/2007,Oklahoma,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1717,8/23/2007,Minnesota,Severe Storms and Flooding,Major Disaster Declaration
3278,8/21/2007,Minnesota,Bridge Collapse,Emergency Declaration
2723,8/19/2007,Montana,Ford Road Fire,Fire Management Assistance Declaration
3277,8/18/2007,Texas,Hurricane Dean,Emergency Declaration
2722,8/17/2007,Hawaii,Kohala Mountain Road Fire,Fire Management Assistance Declaration
2721,8/16/2007,Montana,Black Cat Fire,Fire Management Assistance Declaration
2720,8/14/2007,Hawaii,Waialua Fire,Fire Management Assistance Declaration
2719,8/12/2007,Wyoming,Little Goose Fire,Fire Management Assistance Declaration
1716,8/8/2007,Maine,Severe Storms and Flooding,Major Disaster Declaration
2718,8/4/2007,Montana,Jocko Lakes Fire,Fire Management Assistance Declaration
1715,8/3/2007,Vermont,Severe Storms and Flooding,Major Disaster Declaration
3276,7/31/2007,Federated States of Micronesia,Drought,Emergency Declaration
1714,7/24/2007,Nebraska,Severe Storms and Flooding,Major Disaster Declaration
2717,7/23/2007,Nevada,Murphy Fire Complex,Fire Management Assistance Declaration
2716,7/21/2007,South Dakota,Boxelder Fire,Fire Management Assistance Declaration
2715,7/21/2007,Utah,Salt Creek Fire,Fire Management Assistance Declaration
1713,7/17/2007,North Dakota,Severe Storms and Flooding,Major Disaster Declaration
2713,7/16/2007,Nevada,Hawken Fire,Fire Management Assistance Declaration
2714,7/16/2007,Washington,Tunk Grade Fire,Fire Management Assistance Declaration
2712,7/12/2007,Oregon,Egley Fire Complex,Fire Management Assistance Declaration
